playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Wojciech Szczesny,Arsenal,1498,0,0,3,47,0,5.2,3.2285294117647063,32.1764705882353,3.0,22.764705882352942,1.6666666666666667,0.5,14.176470588235293,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
Calum Chambers,Arsenal,1572,1,1,7,68,8,4.5,6.204230769230768,60.26086956521739,0.0,38.391304347826086,2.9375,1.8846153846153846,34.80952380952381,2.8823529411764706,1.7222222222222223,1.5625,1.0,1.4,0,1.0,1.5384615384615385,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
Mathieu Debuchy,Arsenal,805,1,1,0,23,0,5.2,6.580909090909091,62.3,0.0,36.9,5.0,2.3636363636363638,29.4,2.888888888888889,2.5,1.875,1.0,1.3333333333333333,0,1.0,2.0,1.0,0,0.0,0,0,1.0,0,0,0,0,0,1.0,1.0,0,0,0,0
Kieran Gibbs,Arsenal,1660,0,5,6,76,9,5.2,4.4385714285714295,63.72727272727273,0.0,40.36363636363637,2.2142857142857144,1.542857142857143,34.57142857142857,2.4444444444444446,2.5555555555555554,1.5454545454545454,1.0,1.3,1.0,0,2.142857142857143,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0
Laurent Koscielny,Arsenal,2287,3,0,11,120,15,6.1,6.650999999999998,57.74074074074074,0.0,42.81481481481482,4.095238095238095,5.2,38.0,1.8888888888888888,2.6666666666666665,1.3571428571428572,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0
Mikel Arteta,Arsenal,447,0,1,3,19,2,5.2,5.88875,67.71428571428571,0.0,60.0,1.6,4.0,56.285714285714285,1.8333333333333333,2.0,2.2,1.0,1.0,0,0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Santi Cazorla,Arsenal,2990,7,11,12,168,23,8.4,7.4015789473684235,85.48648648648648,0.0,63.972972972972975,1.0,7.447368421052632,57.0,2.107142857142857,1.4444444444444444,1.1111111111111112,1.0,2.735294117647059,1.0,1.1666666666666667,2.806451612903226,1.8421052631578947,1.2222222222222223,0.0,0,0,0.0,0,1.5,1.0,0,0,0,0,1.0,0,0,0
Alexis Sánchez,Arsenal,NA,NA,NA,NA,NA,NA,NA,7.5908333333333315,69.97142857142858,0.0,41.97142857142857,1.3333333333333333,9.25,32.2,2.3,2.2083333333333335,1.8333333333333333,1.0,3.78125,1.0,1.3333333333333333,3.59375,1.75,1.1428571428571428,0.0,0,0,0.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0
Aaron Ramsey,Arsenal,2007,6,6,10,116,13,8.8,6.838999999999999,72.75862068965517,0.0,56.58620689655172,1.5,5.633333333333334,48.6551724137931,2.6363636363636362,1.9090909090909092,1.7692307692307692,1.0,2.625,1.0,1.0,1.6666666666666667,1.1428571428571428,1.2,0.0,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0
Jack Wilshere,Arsenal,729,2,1,1,36,4,6.3,5.634705882352941,49.357142857142854,0.0,37.42857142857143,1.0,4.823529411764706,31.5,1.25,1.5,1.4285714285714286,1.0,1.8,1.0,1.0,3.2,1.2,1.0,0.0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0
Yaya Sanogo,"Arsenal,Crystal Palace",458,0,1,0,19,0,4.7,4.711764705882353,17.76923076923077,0.0,9.692307692307692,1.8888888888888888,2.7058823529411766,6.416666666666667,1.0,2.5454545454545454,1.8,1.0,1.8888888888888888,0,0,2.0,1.6,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0
Nacho Monreal,Arsenal,2311,0,2,9,92,6,4.9,6.2,66.21428571428571,0.0,44.535714285714285,3.0384615384615383,2.909090909090909,39.51851851851852,2.9545454545454546,2.0,1.411764705882353,1.0,1.0,0,0,1.0,1.0,1.0,0.0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0
Olivier Giroud,Arsenal,1861,14,3,10,120,16,8.7,7.246296296296297,40.629629629629626,0.0,28.296296296296298,4.291666666666667,7.0,19.14814814814815,1.35,4.0,1.7727272727272727,1.0,2.8,1.0,1.1666666666666667,1.1666666666666667,1.3333333333333333,1.0,0.0,0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0
Francis Coquelin,Arsenal,1661,0,0,8,45,1,4.5,5.871785714285714,62.5,0.0,47.57142857142857,3.375,3.5714285714285716,40.904761904761905,3.789473684210526,1.8235294117647058,2.0,1.0,1.25,0,0,1.8333333333333333,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Arsenal,NA,NA,NA,NA,NA,NA,NA,6.84875,50.04347826086956,0.0,30.782608695652176,1.1428571428571428,5.0,25.043478260869566,1.8571428571428572,1.7777777777777777,1.1666666666666667,1.0,2.6666666666666665,1.0,1.0,4.15,1.5714285714285714,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
