playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice
Steven Fletcher,Sunderland,1784,5,2,6,76,6,5.0
Thomas Robson,Sunderland,0,0,0,0,0,0,4.0
Valentin Roberge,Sunderland,90,0,0,0,0,0,4.0
Vito Mannone,Sunderland,900,0,0,2,31,2,4.1
Wes Brown,Sunderland,1992,0,0,8,63,4,4.3
William Buckley,Sunderland,876,0,3,1,37,0,5.0
Angel Rangel,Swansea,2036,0,0,7,64,0,4.9
Ashley Williams,Swansea,3330,0,0,13,118,15,5.4
Bafétimbi Gomis,Swansea,1650,7,1,5,84,6,6.5
David Cornell,Swansea,0,0,0,0,0,0,4.0
Dwight Tiendalli,Swansea,129,0,0,0,2,0,4.3
Federico Fernández,Swansea,2475,0,0,10,93,11,4.9
Gerhard Tremmel,Swansea,110,0,0,0,2,0,4.4
Gylfi Sigurdsson,Swansea,2682,7,10,9,154,19,6.5
Jay Fulton,Swansea,115,0,0,1,4,0,4.4
Jazz Richards,Swansea,636,0,1,2,24,2,4.0
Jefferson Montero,Swansea,1577,1,8,5,80,2,5.4
Jonjo Shelvey,Swansea,2449,3,6,11,99,10,5.2
Jordi Amat,Swansea,588,0,0,2,19,0,4.1
Josh Sheehan,Swansea,0,0,0,0,0,0,4.4
Kenji Gorré,Swansea,7,0,0,0,1,0,4.5
Ki Sung-yueng,Swansea,2689,8,1,11,129,17,5.1
Kyle Bartley,Swansea,630,0,0,1,13,0,3.9
Leon Britton,Swansea,534,0,0,1,15,0,4.4
Liam Shephard,Swansea,0,0,0,0,0,0,4.0
Lukasz Fabianski,Swansea,3307,0,0,13,151,9,5.3
Marvin Emnes,Swansea,514,0,1,0,21,0,4.9
Matt Grimes,Swansea,44,0,0,0,3,0,4.9
Modou Barrow,Swansea,289,0,2,1,17,0,4.4
Nélson Oliveira,Swansea,389,1,1,0,21,0,5.5
Nathan Dyer,Swansea,1862,3,2,8,85,5,5.2
Neil Taylor,Swansea,2998,0,3,13,109,4,4.8
Raheem Hanley,Swansea,0,0,0,0,0,0,4.0
Tom Carroll,Swansea,692,0,0,2,21,0,4.4
Wayne Routledge,Swansea,2309,3,1,10,81,1,5.4
Wilfried Bony,"Swansea,Manchester City",1598,11,3,8,108,14,8.1
Andros Townsend,Tottenham,749,2,3,2,44,2,6.2
Ben Davies,Tottenham,895,0,1,2,31,2,4.4
Benjamin Stambouli,Tottenham,459,0,0,1,12,0,4.6
Brad Friedel,Tottenham,0,0,0,0,0,0,4.7
Christian Eriksen,Tottenham,3132,10,4,9,162,25,7.9
Cristian Ceballos,Tottenham,0,0,0,0,0,0,5.0
Danny Rose,Tottenham,2367,3,5,6,103,10,4.8
DeAndre Yedlin,Tottenham,12,0,0,0,1,0,4.3
Dominic Ball,Tottenham,0,0,0,0,0,0,4.0
Emmanuel Adebayor,Tottenham,813,2,2,3,40,6,7.9
Eric Dier,Tottenham,2293,2,3,6,93,12,4.6
Erik Lamela,Tottenham,2300,2,7,6,93,6,7.4
Etienne Capoue,Tottenham,897,0,0,3,23,0,4.8
Federico Fazio,Tottenham,1776,0,0,5,50,3,4.7
Harry Kane,Tottenham,2581,21,7,6,191,32,6.0
Harry Winks,Tottenham,0,0,0,0,0,0,4.4
Hugo Lloris,Tottenham,3063,0,0,8,121,6,5.4
Jan Vertonghen,Tottenham,2811,1,0,7,90,11,5.8
Josh Onomah,Tottenham,0,0,0,0,0,0,4.5
Kyle Walker,Tottenham,1306,0,1,1,27,1,5.8
Lewis Holtby,Tottenham,30,0,0,0,1,0,5.8
Michel Vorm,Tottenham,357,0,0,1,14,1,4.7
Mousa Dembélé,Tottenham,1146,1,2,2,49,2,5.0
Nabil Bentaleb,Tottenham,2193,0,2,5,55,3,4.3
Nacer Chadli,Tottenham,2407,11,6,7,160,20,6.2
Paulinho,Tottenham,489,0,1,2,21,1,6.7
Roberto Soldado,Tottenham,804,1,1,1,36,2,7.6
Ryan Mason,Tottenham,2313,1,4,7,75,4,4.5
Vlad Chiriches,Tottenham,707,0,0,2,20,3,4.7
Younes Kaboul,Tottenham,990,0,0,3,28,2,4.6
Aaron Lennon,"Tottenham,Everton",1347,2,3,6,62,4,6.2
Michael Dawson,"Tottenham,Hull",2432,1,0,7,71,3,4.6
Kyle Naughton,"Tottenham,Swansea",1179,0,1,3,34,2,4.0
Adil Nabi,West Bromwich Albion,0,0,0,0,0,0,4.5
Alex Palmer,West Bromwich Albion,0,0,0,0,0,0,4.0
Andre Wisdom,West Bromwich Albion,1972,0,1,8,75,7,4.0
Ben Foster,West Bromwich Albion,2485,0,0,11,98,3,4.5
Boaz Myhill,West Bromwich Albion,935,0,0,4,56,6,4.1
Brown Ideye,West Bromwich Albion,1301,4,2,6,62,6,4.8
Callum McManaman,West Bromwich Albion,345,0,1,0,11,0,4.4
Chris Baird,West Bromwich Albion,806,0,0,2,30,3,3.8
Chris Brunt,West Bromwich Albion,2892,2,10,14,128,13,5.2
Claudio Yacob,West Bromwich Albion,1392,0,0,9,35,0,4.4
Craig Dawson,West Bromwich Albion,2590,2,0,12,99,3,4.5
Craig Gardner,West Bromwich Albion,2678,3,4,13,99,4,5.5
Cristian Gamboa,West Bromwich Albion,242,0,1,0,12,0,4.1
Gareth McAuley,West Bromwich Albion,2071,1,0,12,89,5,4.7
Georgios Samaras,West Bromwich Albion,72,0,0,0,5,0,4.7
Graham Dorrans,West Bromwich Albion,1587,1,3,6,57,5,4.7
Jack Rose,West Bromwich Albion,0,0,0,0,0,0,4.0
James Morrison,West Bromwich Albion,2553,2,1,14,95,9,5.5
Jason Davidson,West Bromwich Albion,102,0,0,0,2,0,4.2
Joleon Lescott,West Bromwich Albion,3060,1,2,15,127,8,5.1
Jonas Olsson,West Bromwich Albion,825,1,0,3,32,2,4.6
Liam O'Neil,West Bromwich Albion,0,0,0,0,0,0,3.9
Luke Daniels,West Bromwich Albion,0,0,0,0,0,0,4.0
Sébastien Pocognoli,West Bromwich Albion,1211,0,0,5,41,1,4.1
Saido Berahino,West Bromwich Albion,2925,14,1,13,148,21,5.6
Sebastián Blanco,West Bromwich Albion,39,0,0,0,2,0,5.2
Silvestre Varela,West Bromwich Albion,336,1,0,1,15,0,6.0
Stéphane Sessegnon,West Bromwich Albion,1762,1,4,7,67,2,5.4
Tyler Roberts,West Bromwich Albion,0,0,0,0,0,0,4.5
Victor Anichebe,West Bromwich Albion,1035,3,3,4,57,6,4.9
Youssouf Mulumbu,West Bromwich Albion,899,0,0,3,25,0,4.6
Aaron Cresswell,West Ham,3420,2,4,9,129,13,5.6
Adrián,West Ham,3390,0,0,9,142,6,5.2
Alexandre Song,West Ham,2245,0,3,7,67,2,4.8
Andy Carroll,West Ham,1024,5,2,3,56,7,6.3
Carl Jenkinson,West Ham,2669,0,2,9,94,2,5.0
Carlton Cole,West Ham,912,2,0,2,36,0,4.6
Cheikhou Kouyaté,West Ham,2657,4,3,7,98,6,4.9
Diafra Sakho,West Ham,1755,9,3,4,98,14,5.2
Diego Poyet,West Ham,91,0,0,0,3,0,4.3
Elliot Lee,West Ham,14,0,0,0,1,0,4.3
Enner Valencia,West Ham,2101,4,6,10,94,8,6.3
Guy Demel,West Ham,258,0,0,0,7,0,4.7
James Collins,West Ham,1881,0,0,5,54,3,4.4
James Tomkins,West Ham,1852,1,3,5,72,8,4.6
Joey O'Brien,West Ham,526,0,0,1,15,2,4.2
Josh Cullen,West Ham,0,0,0,0,0,0,4.5
Jussi Jääskeläinen,West Ham,28,0,0,0,2,0,4.2
Kevin Nolan,West Ham,1749,1,1,5,62,4,6.2
Manny Onariase,West Ham,0,0,0,0,0,0,4.0
Mark Noble,West Ham,2302,2,5,7,89,12,5.3
Matthew Jarvis,West Ham,416,0,0,1,14,0,5.2
Morgan Amalfitano,West Ham,1184,3,1,5,54,0,4.9
Nenê,West Ham,135,0,0,0,8,0,5.3
Ravel Morrison,West Ham,34,0,0,0,1,0,4.8
Reece Burke,West Ham,415,0,0,2,19,2,4.0
Reece Oxford,West Ham,0,0,0,0,0,0,4.0
Ricardo Vaz Tê,West Ham,223,0,0,1,6,0,4.1
Sebastian Lletget,West Ham,0,0,0,0,0,0,4.5
Stewart Downing,West Ham,3312,6,8,9,160,26,5.9
Winston Reid,West Ham,2502,1,0,3,61,9,4.8
Mohamed Diamé,"West Ham,Hull",934,4,0,2,48,4,5.1
Mauro Zárate,"West Ham,Queens Park Rangers",487,2,1,1,27,3,6.1
