playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Jonas Lössl,Huddersfield,NA,NA,NA,NA,NA,NA,NA,6.5678947368421055,41.89473684210526,2.861111111111111,33.78947368421053,1.25,1.0,19.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1.5294117647058822,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,0
Terence Kongolo,Huddersfield,1047,0,0,2,30,2,4.4,6.518571428571428,45.38461538461539,0.0,23.923076923076923,2.1538461538461537,2.642857142857143,17.076923076923077,3.3,1.5,1.6666666666666667,0.0,1.0,1.0,0,2.3333333333333335,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
Chris Löwe,Huddersfield,NA,NA,NA,NA,NA,NA,NA,4.830000000000001,47.608695652173914,0.0,26.91304347826087,1.2,1.8387096774193548,20.40909090909091,2.5294117647058822,1.2,1.1818181818181819,1.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0,0,1.0,0,0,0,0,0.0,1.0,1.0,0,0,0.0,0
Zanka,Huddersfield,3420,0,3,10,107,9,4.5,6.707105263157896,54.55263157894737,0.0,41.078947368421055,2.774193548387097,5.131578947368421,31.526315789473685,1.9642857142857142,2.5806451612903225,1.6666666666666667,1.0,1.2,1.0,0,1.0,1.0,1.0,0.0,0,0,1.0,0,0,0,0,0.0,1.0,0,0,0,0.0,0
Christopher Schindler,Huddersfield,3264,0,2,9,102,15,4.6,7.103513513513513,53.2972972972973,0.0,37.54054054054054,4.428571428571429,5.864864864864865,30.513513513513512,2.515151515151515,3.392857142857143,1.5,1.0,1.25,1.0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,0,0,0,0,0.0,0
Florent Hadergjonaj,Huddersfield,1670,0,1,4,51,5,4.5,4.534242424242424,48.69565217391305,0.0,26.869565217391305,1.4545454545454546,1.4848484848484849,18.0,1.75,2.2,1.3076923076923077,1.0,1.3333333333333333,0.0,0,1.6,1.3333333333333333,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
Philip Billing,Huddersfield,755,0,0,3,22,0,4.4,5.183,32.375,0.0,23.1875,2.0,2.6,17.5,2.6666666666666665,1.7142857142857142,2.0,1.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,1.0,0,0,0,0.0,0
Aaron Mooy,Huddersfield,3066,4,3,10,113,8,5.2,6.868888888888886,70.52777777777777,0.0,52.861111111111114,1.5714285714285714,6.361111111111111,41.97222222222222,3.121212121212121,1.7727272727272727,1.1818181818181819,1.0,1.380952380952381,1.0,1.3333333333333333,1.4166666666666667,1.1538461538461537,1.0,0.0,0,0,0.0,0,0,1.0,0,0.0,0,1.0,1.0,0,0.0,0
Jonathan Hogg,Huddersfield,2396,0,0,7,53,0,4.4,6.341250000000001,60.43333333333333,0.0,47.03333333333333,1.6666666666666667,6.3125,40.06666666666667,3.3214285714285716,1.6111111111111112,1.5238095238095237,1.0,1.5,1.0,0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0
Laurent Depoitre,Huddersfield,1807,6,2,4,94,14,5.0,6.197142857142858,24.125,0.0,15.0,4.344827586206897,4.685714285714286,8.53125,1.5555555555555556,4.8,1.75,1.0,1.3888888888888888,1.0,1.0,1.3333333333333333,1.2,1.0,0.0,0,0,0.0,0,1.0,1.0,0,0.0,0,0,0,0,0.0,0
Steve Mounie,Huddersfield,1849,7,2,6,92,12,5.5,5.581764705882354,30.107142857142858,0.0,18.678571428571427,5.84,5.588235294117647,11.571428571428571,1.8333333333333333,5.076923076923077,1.4736842105263157,1.0,3.0625,1.0,1.4,1.3,1.25,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0
Tommy Smith,Huddersfield,1902,0,1,5,50,2,4.7,4.338055555555556,57.291666666666664,0.0,33.0,1.2857142857142858,1.1666666666666667,23.333333333333332,2.0,1.3636363636363635,1.5384615384615385,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,1.0,1.0,0,0,0,0.0,1.0,1.0,0,0,0.0,0
Collin Quaner,Huddersfield,1268,0,4,3,44,0,4.5,5.370645161290324,27.423076923076923,0.0,16.88,1.1666666666666667,3.161290322580645,12.52,1.4666666666666666,1.7333333333333334,1.2727272727272727,1.0,1.4545454545454546,0.0,0,1.7692307692307692,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
Rajiv van La Parra,Huddersfield,2131,3,0,6,74,3,4.4,6.34235294117647,39.935483870967744,0.0,20.387096774193548,1.0909090909090908,8.029411764705882,16.193548387096776,2.1052631578947367,1.45,1.6111111111111112,1.0,2.15,1.0,1.0,2.68,1.4166666666666667,0.0,0.0,0,1.0,1.0,0,1.0,0,0,0.0,0,0,1.0,0,0.0,0
Michael Hefele,Huddersfield,32,0,0,0,1,0,4.2,1.0754545454545454,8.0,0.0,9.0,1.0,0.0,8.0,0,0.0,2.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,1.0,0,0,0,0.0,0
Joel Coleman,Huddersfield,0,0,0,0,0,0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
Alex Pritchard,Huddersfield,997,1,2,3,40,3,5.4,5.861249999999999,41.0,0.0,24.428571428571427,1.0,7.375,17.5,1.7272727272727273,2.0,1.0,1.0,2.2222222222222223,0.0,1.0,1.3,2.2,1.0,0.0,0,0,0.0,0,1.5,0,0,0.0,0,0,0,0,0.0,0
Tom Ince,Huddersfield,2450,2,1,7,82,3,5.5,5.911944444444446,34.18181818181818,0.0,20.636363636363637,1.2307692307692308,7.333333333333333,16.424242424242426,1.9444444444444444,1.8333333333333333,1.1578947368421053,0.0,2.9166666666666665,0.0,1.0,1.625,2.0,0.0,0.0,0,0,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0
Loris Karius,Liverpool,1710,0,0,10,88,5,4.9,3.348947368421053,36.68421052631579,1.9375,27.42105263157895,1.3333333333333333,0.5,18.42105263157895,0,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,1.2857142857142858,0,0,0.0,0,0,0,0,1.0,1.0,0,0,0,0.0,0
Joseph Gomez,Liverpool,1901,0,2,9,86,9,4.5,5.6389655172413775,81.82608695652173,0.0,58.130434782608695,2.2,1.4827586206896552,49.130434782608695,3.0526315789473686,2.2142857142857144,1.25,1.0,1.25,0.0,0,1.7692307692307692,1.0,1.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0,0,0,0,0.0,0
Joel Matip,Liverpool,1995,1,0,9,81,3,5.4,6.655384615384615,79.95833333333333,0.0,71.95652173913044,2.85,4.230769230769231,63.82608695652174,2.1875,1.5,1.2666666666666666,1.0,1.375,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,0,1.0,1.0,0,0.0,0,1.0,0,0,0.0,0
Andrew Robertson,Liverpool,1940,1,5,10,111,12,5.0,5.720370370370369,86.5909090909091,0.0,64.5909090909091,1.3636363636363635,2.4444444444444446,56.22727272727273,1.7222222222222223,1.25,1.6666666666666667,1.0,1.2,1.0,1.0,1.8,1.0,1.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0,0,0,0,0.0,0
Dejan Lovren,Liverpool,2124,2,1,11,110,10,5.3,5.962941176470588,74.60714285714286,0.0,64.39285714285714,4.333333333333333,3.823529411764706,56.964285714285715,1.625,2.3076923076923075,1.5,1.0,1.2727272727272727,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1.0,0,1.0,0,0,0.0,1.0,0,0,0,0.0,0
Jordan Henderson,Liverpool,2169,1,1,14,75,3,5.3,6.049354838709678,87.03703703703704,0.0,77.22222222222223,1.8666666666666667,3.5806451612903225,65.18518518518519,2.4285714285714284,1.375,1.625,1.0,1.25,0.0,1.0,2.0,1.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0
Emre Can,Liverpool,2089,3,6,8,92,10,4.9,6.526896551724139,73.42307692307692,0.0,59.34615384615385,2.5555555555555554,5.103448275862069,50.76923076923077,3.1904761904761907,2.45,1.6875,1.0,1.6875,1.0,1.0,1.5,1.0,1.0,0.0,0,0,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0
James Milner,Liverpool,1759,0,3,6,77,4,6.0,5.865945945945947,59.53125,0.0,46.25,1.4375,3.324324324324324,41.25806451612903,2.4166666666666665,1.2,1.7058823529411764,1.0,1.4,1.0,0,1.5,1.3333333333333333,1.0,0.0,0,0,0.0,0,1.0,0,0,0.0,0,0,0,0,0.0,0
Mohamed Salah,Liverpool,2905,32,12,15,303,26,10.6,7.691111111111113,45.666666666666664,0.0,26.27777777777778,1.1818181818181819,9.166666666666666,20.166666666666668,1.3333333333333333,1.4,1.0666666666666667,1.0,4.0,1.0,1.3333333333333333,2.7241379310344827,1.736842105263158,1.1111111111111112,0.0,0,0,0.0,0,1.0,0,1.0,0.0,0,0,1.0,0,0.0,0
Sadio Mané,Liverpool,NA,NA,NA,NA,NA,NA,NA,6.5903125,49.3448275862069,0.0,33.172413793103445,1.588235294117647,9.4375,26.655172413793103,1.5,2.44,1.411764705882353,1.0,2.9166666666666665,1.0,1.0,2.4347826086956523,1.3,1.4,0.0,0,1.0,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0
