player,team,position,minutes,goals,assits,cs,points,bonus,price
Filipe Luis,Chelsea,DEF,0,0,0,0,0,0,5.5
Firmino,Liverpool,MID,1973,10,8,9,155,18,8.3
Flamini,Arsenal,MID,1089,0,0,5,29,0,4.4
Flanagan,Liverpool,DEF,420,0,1,2,21,2,4.4
Fletcher,West Brom,MID,3375,1,3,11,103,6,4.3
Fletcher,Sunderland,FWD,1010,4,1,2,48,2,4.8
Fonte,Southampton,DEF,3165,2,2,11,127,13,5.5
Forestieri,Watford,FWD,0,0,0,0,0,0,4.4
Forster,Southampton,GKP,1620,0,0,6,68,3,4.9
Foster,West Brom,GKP,1350,0,0,4,56,5,4.9
Fosu-Mensah,Man Utd,DEF,257,0,1,2,22,2,3.9
Francis,Bournemouth,DEF,3386,0,4,6,89,9,4.1
Fryers,Crystal Palace,DEF,0,0,0,0,0,0,4
Fuchs,Leicester,DEF,2711,0,4,15,150,25,5.2
Fulton,Liverpool,GKP,0,0,0,0,0,0,4
Fulton,Swansea,MID,21,0,0,0,2,0,4.3
Funes Mori,Everton,DEF,2193,4,1,6,92,9,5.5
F�bregas,Chelsea,MID,2896,5,7,8,133,16,8.5
Gabriel,Arsenal,DEF,1764,1,0,10,83,9,4.3
Galloway,Everton,DEF,1221,0,1,4,39,0,3.9
Gamboa,West Brom,DEF,28,0,0,0,0,0,3.8
Garbutt,Everton,DEF,0,0,0,0,0,0,4.5
Gardner,West Brom,MID,2039,3,3,7,83,5,5.1
Gardner,Aston Villa,MID,0,0,0,0,0,0,4.5
Gardos,Southampton,DEF,0,0,0,0,0,0,4.4
Gayle,Crystal Palace,FWD,771,3,1,4,37,4,5.1
Gazzaniga,Southampton,GKP,180,0,0,0,5,0,4.5
Gestede,Aston Villa,FWD,1669,5,3,0,78,6,5.5
Giaccherini,Sunderland,MID,0,0,0,0,0,0,5.3
Gibbs,Arsenal,DEF,391,1,0,1,26,0,5.1
Gibson,Newcastle,DEF,0,0,0,0,0,0,4
Gibson,Everton,MID,242,0,1,0,9,0,4.4
Gilmartin,Watford,GKP,0,0,0,0,0,0,4
Giroud,Arsenal,FWD,2430,16,6,12,156,15,8.8
Given,Stoke,GKP,225,0,0,0,2,0,4.3
Gnabry,Arsenal,MID,13,0,0,0,1,0,4.5
Gomes,Watford,GKP,3396,0,0,11,157,14,5.1
Gomez,Liverpool,DEF,437,0,1,3,23,3,4.2
Gomis,Swansea,FWD,1703,6,0,5,76,2,6.3
Gooch,Sunderland,FWD,0,0,0,0,0,0,4.4
Good,Newcastle,DEF,0,0,0,0,0,0,4
Gorr�,Swansea,MID,0,0,0,0,0,0,4.5
Gosling,Bournemouth,MID,2446,3,2,5,86,6,4.4
Goss,Man Utd,MID,0,0,0,0,0,0,4.5
Gouffran,Newcastle,MID,227,0,0,1,11,0,5.5
Grabban,Bournemouth,FWD,827,1,0,0,30,1,4.2
Gradel,Bournemouth,MID,891,1,5,4,48,1,5.7
Graham,Sunderland,FWD,360,0,1,0,15,0,4.1
Gray,Crystal Palace,MID,0,0,0,0,0,0,4.5
Gray,Leicester,MID,187,0,2,0,18,0,4.3
Grealish,Aston Villa,MID,833,1,0,0,28,0,5.2
Green,Aston Villa,FWD,59,0,0,0,2,0,4.4
Greenwood,Sunderland,MID,51,0,0,0,1,0,4.5
Grimes,Swansea,MID,90,0,0,1,3,0,4.2
Gueye,Aston Villa,MID,3071,0,2,6,74,3,4.6
Guzan,Aston Villa,GKP,2520,0,0,2,62,0,4.1
Gu�dioura,Watford,MID,430,0,2,1,25,0,4.2
G�mez,Sunderland,MID,352,0,0,1,11,0,4.8
Haidara,Newcastle,DEF,555,0,1,1,17,2,4.2
Hamer,Leicester,GKP,0,0,0,0,0,0,3.9
Hammond,Leicester,MID,0,0,0,0,0,0,4.3
Hangeland,Crystal Palace,DEF,630,0,0,3,25,2,4
Hart,Man City,GKP,3109,0,0,15,134,3,5.6
Haugaard,Stoke,GKP,405,0,0,0,5,0,4.4
Hazard,Chelsea,MID,2193,5,4,5,104,11,10.9
Henderson,Liverpool,MID,1290,2,3,5,57,3,6.5
Hendrie,West Ham,DEF,0,0,0,0,0,0,4
Hennessey,Crystal Palace,GKP,2610,0,0,8,98,5,4.2
Henry,West Ham,DEF,0,0,0,0,0,0,4
Hepburn-Murphy,Aston Villa,FWD,1,0,0,0,1,0,4.1
Hern�ndez,Man Utd,FWD,24,0,0,0,1,0,6
Herrera,Man Utd,MID,1534,3,2,8,73,5,6.5
Hesketh,Southampton,MID,0,0,0,0,0,0,4.7
Hibbert,Everton,DEF,45,0,0,0,1,0,3.9
Hoban,Watford,DEF,0,0,0,0,0,0,3.8
Holebas,Watford,DEF,945,1,0,1,25,2,4
Holgate,Everton,DEF,0,0,0,0,0,0,4
Holmes,Bournemouth,GKP,0,0,0,0,0,0,4
Honeyman,Sunderland,MID,39,0,0,0,1,0,4.5
Hooiveld,Norwich,DEF,0,0,0,0,0,0,4
Hoolahan,Norwich,MID,1991,4,9,7,113,7,4.7
Hooper,Norwich,FWD,13,0,0,0,2,0,4.2
Horsfield,Man City,MID,0,0,0,0,0,0,4.4
Howard,Everton,GKP,2250,0,0,7,91,5,4.8
Howson,Norwich,MID,2951,3,4,5,106,12,4.9
Humphreys-Grant,Man City,DEF,0,0,0,0,0,0,4
Huth,Leicester,DEF,3150,3,0,15,140,10,4.8
Hutton,Aston Villa,DEF,2330,0,1,2,31,0,4.1
Ibarbo,Watford,FWD,68,0,0,0,4,0,5.1
Ibe,Liverpool,MID,1177,1,3,5,61,4,4.4
Ideye,West Brom,FWD,0,0,0,0,0,0,5.3
Ighalo,Watford,FWD,3147,16,6,12,175,25,5.6
Iheanacho,Man City,FWD,766,8,2,1,80,13,4.8
Ilori,Liverpool,DEF,0,0,0,0,0,0,4.3
Imbula,Stoke,MID,1260,2,0,1,43,8,4.7
Ings,Liverpool,FWD,340,2,0,0,21,5,6.9
Inler,Leicester,MID,194,0,0,1,8,0,4.3
Ireland,Stoke,MID,243,0,1,0,14,0,4.6
Isgrove,Southampton,MID,0,0,0,0,0,0,4.5
Iturbe,Bournemouth,MID,57,0,0,0,2,0,4.6
Ivanovic,Chelsea,DEF,2916,2,3,8,111,13,6.6
Iwobi,Arsenal,MID,628,2,2,5,42,2,4.5
Jagielka,Everton,DEF,1850,0,0,7,65,4,5.1
James,Leicester,MID,0,0,0,0,0,0,4.4
Janmaat,Newcastle,DEF,2751,2,4,4,79,6,4.8
Januzaj,Man Utd,MID,145,1,0,1,11,0,5.5
Jarvis,Norwich,MID,1094,1,1,3,42,0,4.6
Jedinak,Crystal Palace,MID,1540,0,0,3,39,0,4.6
Jelavic,West Ham,FWD,350,1,2,1,25,1,5.5
Jenkinson,Arsenal,DEF,1228,2,0,0,28,0,4.8
Jerome,Norwich,FWD,1778,3,2,2,72,3,4.5
Johnson,Stoke,DEF,2184,0,3,9,92,9,4.8
Johnson,Norwich,MID,154,0,0,0,5,0,5.3
Johnson,Sunderland,MID,1148,2,6,1,58,2,5.8
Johnstone,Man Utd,GKP,0,0,0,0,0,0,4.3
Jones,Man Utd,DEF,530,0,0,3,31,6,4.7
Jones,Sunderland,DEF,2032,1,1,2,45,6,4.2
Jordan,Bournemouth,DEF,0,0,0,0,0,0,4
Joselu,Stoke,FWD,1097,4,2,2,56,3,5.5
Jos� Enrique,Liverpool,DEF,0,0,0,0,0,0,4.1
Jovetic,Man City,FWD,0,0,0,0,0,0,7
Juanmi,Southampton,FWD,173,0,0,0,12,0,5.3
Jurado,Watford,MID,2008,0,3,10,66,2,5.3
Kaboul,Sunderland,DEF,2008,0,2,8,72,5,4.2
Kaikai,Crystal Palace,MID,45,0,0,0,1,0,4.5
Kane,Spurs,FWD,3363,25,3,14,211,33,10.2
Kant�,Leicester,MID,3022,1,4,15,108,9,5
Kean,Norwich,GKP,0,0,0,0,0,0,4
Keane,Man Utd,FWD,5,0,0,0,1,0,4.4
Kelly,Crystal Palace,DEF,1044,0,0,3,29,0,4.1
Kenedy,Chelsea,FWD,556,1,0,1,23,3,5
Kenny,Everton,DEF,62,0,1,1,10,1,4
Kermorgant,Bournemouth,FWD,130,0,0,0,7,0,4.4
Khazri,Sunderland,MID,1071,2,2,5,47,4,5.7
Ki Sung-yueng,Swansea,MID,1851,2,1,3,61,4,5
King,Bournemouth,MID,1914,6,3,3,98,7,4.3
King,Leicester,MID,1062,2,2,0,54,6,4.1
Kingsley,Swansea,DEF,355,0,1,1,13,0,4
Kinsella,Aston Villa,DEF,0,0,0,0,0,0,3.8
Kirchhoff,Sunderland,DEF,1076,0,0,5,45,0,4.3
Klose,Norwich,DEF,849,1,0,2,30,5,4.2
Knockaert,Leicester,MID,0,0,0,0,0,0,4.5
Knoyle,West Ham,DEF,0,0,0,0,0,0,4
Kolarov,Man City,DEF,2283,3,4,10,118,12,5.9
Kompany,Man City,DEF,1179,2,0,9,76,8,6.3
Konchesky,Leicester,DEF,0,0,0,0,0,0,4.5
Kon�,Sunderland,DEF,1314,2,1,4,60,5,4.3
Kon�,Everton,FWD,1457,5,4,4,76,6,4.4
Koscielny,Arsenal,DEF,2845,4,0,15,153,18,6.3
Kouyat�,West Ham,MID,3007,5,3,11,110,5,5.2
Koz�k,Aston Villa,FWD,258,0,0,2,7,0,4.4
Kramaric,Leicester,FWD,24,0,0,0,2,0,5.4
Krul,Newcastle,GKP,720,0,0,1,23,3,4.2
Lafferty,Norwich,FWD,14,0,0,0,1,0,4.3
Lallana,Liverpool,MID,2109,4,6,10,109,10,7.3
Lambert,West Brom,FWD,625,1,2,1,31,0,5.3
Lamela,Spurs,MID,2371,5,9,11,123,8,6.8
Lanzini,West Ham,MID,1910,6,3,4,100,14,4.9
Larsson,Sunderland,MID,554,0,1,0,22,0,5
Lascelles,Newcastle,DEF,1155,2,0,3,44,2,4.2
Lawrence,Leicester,FWD,0,0,0,0,0,0,4.4
Lay�n,Watford,DEF,131,1,0,0,9,0,4.5
Ledley,Crystal Palace,MID,981,1,0,2,37,2,4.6
Lee,West Ham,FWD,0,0,0,0,0,0,4.3
Lee Chung-yong,Crystal Palace,MID,390,1,0,0,22,2,4.2
Leko,West Brom,FWD,271,0,1,0,11,0,4.5
Lennon,Everton,MID,1538,5,1,5,80,7,5.4
Lens,Sunderland,MID,1294,3,4,1,57,3,6
Lescott,Aston Villa,DEF,2809,3,0,5,85,9,4.6
Lindegaard,West Brom,GKP,0,0,0,0,0,0,4.3
Lingard,Man Utd,MID,1632,4,1,9,76,5,4.3
Lloris,Spurs,GKP,3330,0,0,13,140,4,5.4
Loftus-Cheek,Chelsea,MID,412,1,1,1,25,0,4.6
Long,Southampton,FWD,2111,10,4,9,109,8,5.7
Love,Man Utd,DEF,54,0,0,0,1,0,4.4
Lovren,Liverpool,DEF,1896,0,0,8,70,4,4.8
Lucas,Liverpool,MID,1954,0,1,4,49,2,4.3
Lucas,Swansea,MID,0,0,0,0,0,0,4.5
Lukaku,Everton,FWD,3170,18,7,9,185,25,8.7
Lyden,Aston Villa,MID,153,0,0,0,5,0,4.5
M'Vila,Sunderland,MID,3187,1,6,7,108,7,4.8
MacDonald,Bournemouth,MID,31,0,0,0,3,0,4.2
Macey,Arsenal,GKP,0,0,0,0,0,0,4
Maddison,Leicester,GKP,0,0,0,0,0,0,3.9
Maffeo,Man City,DEF,0,0,0,0,0,0,4
Mahrez,Leicester,MID,3036,17,11,18,240,38,7.2
Maiga,West Ham,FWD,27,1,0,0,7,0,4.5
Mandron,Sunderland,FWD,0,0,0,0,0,0,4.5
Mangala,Man City,DEF,2009,0,1,9,68,1,5.3
Mannone,Sunderland,GKP,1710,0,0,4,69,5,4.3
Manquillo,Liverpool,DEF,0,0,0,0,0,0,4.5
Manu Garc�a,Man City,MID,11,0,0,0,1,0,4.5
Man�,Southampton,MID,2599,11,9,9,160,16,7.4
Mariappa,Crystal Palace,DEF,255,0,0,0,3,0,3.7
Markovic,Liverpool,MID,0,0,0,0,0,0,5.8
Martial,Man Utd,FWD,2632,11,6,14,141,21,7.8
Martin,Norwich,DEF,2697,3,0,4,71,2,4.2
Martina,Southampton,DEF,1085,1,1,1,36,1,4.1
Marveaux,Newcastle,MID,0,0,0,0,0,0,4.5
Mason,Aston Villa,DEF,0,0,0,0,0,0,4
Mason,Spurs,MID,805,1,0,3,35,2,4.9
Mata,Man Utd,MID,2889,6,6,19,145,15,8.1
Matic,Chelsea,MID,2414,2,3,7,83,5,4.6
Matthews,Sunderland,DEF,37,0,0,0,1,0,4.2
Mayuka,Southampton,FWD,0,0,0,0,0,0,4.5
Mbabu,Newcastle,DEF,143,0,0,0,2,0,4.1
Mbemba,Newcastle,DEF,2923,0,1,7,79,6,4.9
Mbokani,Norwich,FWD,1595,7,1,3,82,7,5.2
McAleny,Everton,FWD,0,0,0,0,0,0,4.4
McArthur,Crystal Palace,MID,2185,2,2,5,71,2,4.9
McAuley,West Brom,DEF,3060,1,0,10,97,5,4.9
McCarthy,Crystal Palace,GKP,630,0,0,0,20,0,3.8
McCarthy,Everton,MID,2428,2,2,7,73,3,4.6
McClean,West Brom,MID,2413,2,3,5,76,3,4.7
McGeady,Everton,MID,0,0,0,0,0,0,4.9
McGugan,Watford,MID,0,0,0,0,0,0,4.5
McManaman,West Brom,MID,281,0,2,1,19,0,4.3
McNair,Man Utd,DEF,315,0,0,0,9,0,4.5
Mertesacker,Arsenal,DEF,2047,0,0,9,71,1,5.2
Miazga,Chelsea,DEF,135,0,0,1,6,0,4.5
Mignolet,Liverpool,GKP,3060,0,0,11,115,1,5
Mikel,Chelsea,MID,1782,0,1,5,45,0,4.2
Milner,Liverpool,MID,2409,5,11,8,123,13,6.6
Mings,Bournemouth,DEF,11,0,0,0,1,0,4.1
Mirallas,Everton,MID,1012,4,2,2,59,6,6.7
Mitrovic,Newcastle,FWD,2117,9,4,4,103,10,6.1
Moha,Stoke,MID,0,0,0,0,0,0,4.2
Monreal,Arsenal,DEF,3249,0,3,17,152,14,5.9
Montero,Swansea,MID,1355,0,2,4,46,0,5.1
Moore,Leicester,DEF,0,0,0,0,0,0,3.8
Moreno,Liverpool,DEF,2547,1,4,7,104,12,4.8
Morgan,Leicester,DEF,3420,2,0,15,139,5,4.6
Morrison,West Brom,MID,1338,3,3,4,60,4,4.4
Moses,West Ham,MID,979,1,4,1,46,0,4.9
Mulumbu,Norwich,MID,368,0,0,0,11,1,4.3
Muniesa,Stoke,DEF,1114,0,0,1,23,2,4.2
Murray,Watford,MID,0,0,0,0,0,0,4.4
Murray,Bournemouth,FWD,802,3,0,2,36,0,5.3
Mutch,Crystal Palace,MID,803,0,0,0,25,0,4.1
Myhill,West Brom,GKP,2070,0,0,7,83,9,4.2
N'Doye,Sunderland,FWD,572,1,0,0,19,1,4.8
N'Jie,Spurs,FWD,192,0,1,1,12,0,7.2
N'Zogbia,Aston Villa,MID,43,0,0,0,2,0,4.4
N'Zonzi,Stoke,MID,0,0,0,0,0,0,5
Naismith,Norwich,FWD,1325,4,3,3,65,5,5
Nasri,Man City,MID,542,2,3,2,36,2,6.6
Nathan,Chelsea,MID,0,0,0,0,0,0,5
Naughton,Swansea,DEF,1768,0,3,4,65,8,4.5
Navas,Man City,MID,2282,0,10,12,99,1,6.1
Niasse,Everton,FWD,143,0,0,0,6,0,6.4
Noble,West Ham,MID,3196,7,4,11,133,11,5.6
Nolan,West Ham,MID,57,0,0,0,2,0,5.4
Nordfeldt,Swansea,GKP,90,0,0,0,3,0,4.2
Nugent,Leicester,FWD,0,0,0,0,0,0,5.5
Nyom,Watford,DEF,2469,0,1,9,89,9,4.4
O'Brien,West Ham,DEF,0,0,0,0,0,0,4.4
O'Kane,Bournemouth,MID,756,0,1,0,23,0,4.1
O'Neil,Norwich,MID,1755,0,0,4,39,0,4.2
O'Shea,Sunderland,DEF,2009,0,0,2,43,0,4.3
Obertan,Newcastle,MID,279,0,1,1,11,0,4.1
Obiang,West Ham,MID,1088,0,1,2,36,0,4.7
Odemwingie,Stoke,MID,106,0,0,0,5,0,4.7
Odjidja-Ofoe,Norwich,MID,279,0,2,0,16,0,4.9
Ogbonna,West Ham,DEF,2326,0,0,9,76,5,4.9
Okazaki,Leicester,FWD,2054,5,2,12,88,6,5.3
Okore,Aston Villa,DEF,1080,0,0,3,29,1,4.4
Olomola,Southampton,FWD,0,0,0,0,0,0,4.5
Olsson,Norwich,DEF,1775,1,2,3,54,0,4.4
Olsson,West Brom,DEF,2013,1,1,5,71,8,4.3
Onomah,Spurs,MID,83,0,0,0,8,0,4.3
Origi,Liverpool,FWD,670,5,1,2,48,5,5
Oriol Romeu,Southampton,MID,1612,1,0,5,45,0,4.2
Oscar,Chelsea,MID,1770,3,4,6,74,3,7.9
Osman,Everton,MID,223,0,0,1,12,0,4.4
Ospina,Arsenal,GKP,360,0,0,2,20,2,4.7
Otamendi,Man City,DEF,2671,1,0,11,104,15,6.5
Oular�,Watford,FWD,7,0,0,0,2,0,5.5
Oviedo,Everton,MID,996,0,1,3,32,1,4.2
Oxford,West Ham,DEF,212,0,0,1,11,0,3.7
Palmer,West Brom,GKP,0,0,0,0,0,0,4
Palmer,Chelsea,MID,0,0,0,0,0,0,4.5
Paloschi,Swansea,FWD,665,2,0,1,23,1,5.7
Pantilimon,Watford,GKP,1530,0,0,3,56,5,4.5
Paredes,Watford,DEF,771,0,1,2,30,0,4.2
Parfitt-Williams,West Ham,FWD,0,0,0,0,0,0,4.5
Pato,Chelsea,FWD,131,1,1,1,12,1,6.9
Payet,West Ham,MID,2570,9,13,7,171,25,8.6
Pedro,Chelsea,MID,2035,7,3,7,113,14,8.8
Pell�,Southampton,FWD,2175,11,9,8,134,16,7.9
Pennington,Everton,DEF,298,0,0,0,4,0,4
Pereira,Man Utd,MID,84,0,0,0,3,0,4.5
Pickford,Sunderland,GKP,180,0,0,0,4,0,3.9
Pienaar,Everton,MID,122,0,0,0,5,0,4.8
Pieters,Stoke,DEF,3096,0,1,10,93,7,4.8
Pinto,Norwich,DEF,811,0,0,0,13,0,4.1
Pocognoli,West Brom,DEF,36,0,1,0,4,0,4.1
Powell,Man Utd,MID,17,0,0,0,1,0,4.4
Poyet,West Ham,MID,0,0,0,0,0,0,4.5
Pozo,Man City,FWD,0,0,0,0,0,0,4.8
Pritchard,West Brom,MID,69,0,0,0,3,0,4.6
Pr�dl,Watford,DEF,1778,2,0,5,59,1,4.2
Pudil,Watford,DEF,0,0,0,0,0,0,4
Pugh,Bournemouth,MID,1337,3,4,3,66,1,4.6
Puncheon,Crystal Palace,MID,2615,2,3,9,87,1,5.5
Rafael,Man Utd,DEF,0,0,0,0,0,0,5
Ramires,Chelsea,MID,609,2,0,1,29,1,5.3
Ramsey,Arsenal,MID,2623,5,5,14,119,9,7.8
Ram�rez,Southampton,MID,31,0,1,0,6,0,5.2
Randall,Liverpool,DEF,163,0,0,0,4,0,4
Randolph,West Ham,GKP,540,0,0,2,18,2,4.4
Rangel,Swansea,DEF,1821,0,1,6,56,2,4.1
Rantie,Bournemouth,FWD,41,0,0,0,3,0,4.1
Rashford,Man Utd,FWD,855,5,2,6,55,8,4.7
Redmond,Norwich,MID,2341,6,4,3,110,8,5
Reed,Southampton,MID,11,0,0,0,1,0,4.2
Reid,West Ham,DEF,2135,1,2,6,68,7,4.8
Remy,Chelsea,FWD,291,1,1,0,24,2,7.1
Richards,Aston Villa,DEF,2045,1,1,4,49,3,4.3
Richardson,Aston Villa,DEF,723,0,1,0,11,1,4.1
Riley,Man Utd,MID,0,0,0,0,0,0,4.5
Ritchie,Bournemouth,MID,2975,4,8,6,119,5,5.1
Rivi�re,Newcastle,FWD,65,0,0,0,3,0,5.4
Roberge,Sunderland,DEF,0,0,0,0,0,0,4
Roberts,Man City,MID,5,0,0,0,1,0,4.2
Roberts,West Brom,FWD,18,0,0,0,0,0,4.5
Robles,Everton,GKP,1170,0,0,3,46,3,4.3
