playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Petr Cech,Arsenal,3060,0,0,16,159,15,5.9,6.558055555555556,36.205882352941174,3.2580645161290325,25.08823529411765,1.0,0.9444444444444444,14.794117647058824,0,0,0,0,0,1.0,0,1.0,0,0,1.625,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
Laurent Koscielny,Arsenal,2845,4,0,15,153,18,6.3,7.255294117647061,67.21212121212122,0.0,51.27272727272727,3.8518518518518516,5.823529411764706,44.60606060606061,1.8076923076923077,2.0357142857142856,1.9375,1.0,1.2666666666666666,1.0,1.0,1.1111111111111112,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Per Mertesacker,Arsenal,2047,0,0,9,71,1,5.2,5.3096774193548395,61.625,0.0,51.875,2.8421052631578947,3.870967741935484,46.375,1.9285714285714286,1.3636363636363635,1.4,1.0,1.3333333333333333,0.0,0,1.0,1.0,0,0.0,0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0
Mathieu Debuchy,Arsenal,142,0,0,0,3,0,5.1,0.8058823529411764,66.5,0.0,39.5,3.0,0.23529411764705882,29.5,9.0,1.0,1.5,0,1.0,0.0,0,1.0,1.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,Arsenal,3249,0,3,17,152,14,5.9,7.071315789473684,74.62162162162163,0.0,49.83783783783784,2.5555555555555554,2.8421052631578947,42.5945945945946,2.393939393939394,2.16,1.3333333333333333,1.0,1.3333333333333333,1.0,0,1.2307692307692308,1.0,1.5,0.0,0,0,0.0,0,0,0,0,0,1.0,1.0,0,0,0,0
Francis Coquelin,Arsenal,1643,0,0,9,46,2,4.2,6.844074074074073,55.88461538461539,0.0,42.88461538461539,1.2666666666666666,4.888888888888889,38.23076923076923,3.272727272727273,1.2307692307692308,1.6,1.0,1.1428571428571428,1.0,0,1.6666666666666667,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Arsenal,928,1,1,5,44,0,5.5,6.37304347826087,32.54545454545455,0.0,19.954545454545453,1.1428571428571428,3.0434782608695654,16.454545454545453,1.7692307692307692,1.25,1.2222222222222223,0,1.7692307692307692,0.0,1.0,2.5714285714285716,1.25,0,0.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0
Santi Cazorla,Arsenal,1290,0,3,7,44,6,7.8,6.641764705882353,101.73333333333333,0.0,81.93333333333334,1.0,4.647058823529412,73.93333333333334,2.1538461538461537,1.2,1.4444444444444444,1.0,2.1818181818181817,1.0,0,2.8461538461538463,1.5,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1.0,0,0
Mesut Özil,Arsenal,NA,NA,NA,NA,NA,NA,NA,7.657428571428572,84.65714285714286,0.0,65.02857142857142,1.0,10.0,56.114285714285714,1.5217391304347827,1.3636363636363635,1.5384615384615385,1.0,1.6785714285714286,1.0,1.0,1.84,1.7,1.1875,0.0,0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0
Aaron Ramsey,Arsenal,2623,5,5,14,119,9,7.8,6.988437499999999,89.48387096774194,0.0,69.45161290322581,1.588235294117647,5.15625,59.806451612903224,3.12,1.625,1.8076923076923077,1.0,2.5555555555555554,1.0,1.0,1.8571428571428572,1.3529411764705883,1.0,0.0,0,0,0.0,0,0,1.0,0,0,0,1.0,0,0,0,0
