teamName,team_rating,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,goals,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
Arsenal,7.149141122035858,1.25,15.710526315789474,56.56052631578948,20.0,1.5454545454545454,4.75,16.05263157894737,1.6923076923076923,19.44736842105263,1.25,19.842105263157894,1.896551724137931,2.1739130434782608,16.789473684210527,452.89473684210526,540.1578947368421,6.891891891891892,5.578947368421052,6.135135135135135,2.1515151515151514,2.0303030303030303,9.894736842105264,1.9166666666666667,1.0833333333333333,2.206896551724138,1.0,1.1666666666666667,1.5833333333333333,1.5,1.2857142857142858,1.125,1.0,1.1111111111111112,1.0,0,1.0,1.0,1.0,1.0
Crystal Palace,6.831762338538657,1.0,9.394736842105264,40.257894736842104,24.473684210526315,1.4,3.5675675675675675,11.631578947368421,1.2307692307692308,20.789473684210527,1.2857142857142858,23.68421052631579,1.7037037037037037,1.4782608695652173,22.605263157894736,220.55263157894737,317.63157894736844,5.72972972972973,4.75,3.7567567567567566,1.88,1.5833333333333333,13.868421052631579,1.4705882352941178,1.125,2.6551724137931036,1.0,1.0,1.4444444444444444,1.2857142857142858,1.0,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burnley,6.785845842753737,1.0,6.342105263157895,42.4078947368421,26.57894736842105,1.1875,3.4166666666666665,11.31578947368421,1.1818181818181819,16.18421052631579,1.0,25.105263157894736,1.68,1.4,24.63157894736842,252.1578947368421,358.8157894736842,4.621621621621622,4.7894736842105265,3.3783783783783785,1.4,1.8275862068965518,10.736842105263158,1.8,1.1666666666666667,2.1333333333333333,1.0,1.0,2.0,1.8,1.0,1.2,1.5,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
Chelsea,7.059723828802779,1.3333333333333333,12.81578947368421,55.728947368421046,21.657894736842106,1.2,4.027027027027027,14.842105263157896,1.4375,19.973684210526315,1.588235294117647,18.55263157894737,1.8148148148148149,2.1333333333333333,15.605263157894736,443.63157894736844,533.4473684210526,5.973684210526316,5.394736842105263,5.526315789473684,2.085714285714286,2.066666666666667,10.052631578947368,1.411764705882353,1.2727272727272727,2.34375,1.25,1.0,1.9230769230769231,1.1875,1.0,1.3333333333333333,1.0,1.1,1.25,0,1.0,1.0,1.0,1.0
Leicester,6.843093551185658,1.4545454545454546,9.052631578947368,43.39736842105263,24.63157894736842,1.3636363636363635,3.2,12.026315789473685,1.1666666666666667,20.789473684210527,1.3333333333333333,23.42105263157895,1.75,1.65,28.157894736842106,249.68421052631578,351.1842105263158,5.578947368421052,5.621621621621622,3.8055555555555554,1.9166666666666667,2.1724137931034484,12.0,1.4666666666666666,1.0,2.3076923076923075,1.25,2.0,1.6428571428571428,1.2857142857142858,1.0,1.2,1.0,1.1428571428571428,1.4,0,1.5,1.0,1.0,1.0
Everton,6.812675898662739,1.3571428571428572,10.210526315789474,54.58947368421053,22.31578947368421,1.0,3.6052631578947367,12.710526315789474,1.6666666666666667,17.289473684210527,1.375,15.18421052631579,1.7333333333333334,1.5517241379310345,17.0,408.07894736842104,494.94736842105266,5.2105263157894735,4.7368421052631575,4.368421052631579,1.8461538461538463,1.6551724137931034,10.263157894736842,1.3333333333333333,1.2,2.515151515151515,1.2857142857142858,1.0,1.6176470588235294,1.0,1.0,1.1428571428571428,1.0,1.1666666666666667,1.0,0,1.0,1.0,1.0,1.0
Liverpool,6.902160208212839,1.1538461538461537,11.526315789473685,55.73684210526317,22.05263157894737,1.1428571428571428,4.342105263157895,15.526315789473685,1.4615384615384615,21.0,1.4761904761904763,14.973684210526315,1.8,1.68,15.526315789473685,422.10526315789474,509.8157894736842,5.2105263157894735,6.131578947368421,5.052631578947368,1.7333333333333334,2.2413793103448274,10.131578947368421,1.5769230769230769,1.2,2.5,1.0,1.0,1.7272727272727273,1.1176470588235294,1.0,1.2727272727272727,1.0,1.1111111111111112,1.0,1.0,1.25,1.0,1.0,1.0
Southampton,6.904203537690381,1.2,6.947368421052632,53.078947368421055,23.92105263157895,1.2307692307692308,3.388888888888889,13.394736842105264,1.2727272727272727,21.394736842105264,1.2941176470588236,16.973684210526315,2.2,1.5769230769230769,17.342105263157894,381.3157894736842,478.4736842105263,5.648648648648648,5.7368421052631575,4.447368421052632,2.076923076923077,2.1923076923076925,12.342105263157896,1.3333333333333333,1.1,2.5833333333333335,0.0,1.0,1.6428571428571428,1.1428571428571428,1.2857142857142858,1.5,1.25,1.375,1.0,0,1.0,1.0,1.25,1.25
Manchester United,6.990919365721996,1.2941176470588236,9.842105263157896,61.16315789473685,21.0,1.1666666666666667,4.0,13.473684210526315,1.25,19.44736842105263,1.1428571428571428,15.763157894736842,1.6666666666666667,1.96,15.526315789473685,477.36842105263156,560.7631578947369,5.631578947368421,5.081081081081081,4.864864864864865,2.066666666666667,2.0,11.921052631578947,1.4210526315789473,1.3,2.6363636363636362,1.2,1.0,1.5714285714285714,1.2727272727272727,1.5,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Swansea,6.856901388085598,1.1,9.210526315789474,50.09736842105263,19.0,1.1666666666666667,3.2941176470588234,11.210526315789474,1.2222222222222223,16.68421052631579,1.2857142857142858,14.5,1.6521739130434783,1.88,17.289473684210527,386.2368421052632,470.44736842105266,4.4411764705882355,4.513513513513513,4.083333333333333,1.5333333333333334,1.6923076923076923,10.473684210526315,1.25,1.0,2.5806451612903225,1.0,1.0,1.4782608695652173,1.1111111111111112,1.0,1.1111111111111112,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0
Newcastle United,6.740591382301909,1.2727272727272727,11.631578947368421,47.55000000000001,24.394736842105264,1.3333333333333333,3.5675675675675675,12.31578947368421,1.25,21.68421052631579,1.411764705882353,17.763157894736842,1.7586206896551724,1.55,23.0,303.6842105263158,395.2631578947368,5.842105263157895,5.078947368421052,3.864864864864865,1.6,2.1724137931034484,11.421052631578947,1.35,1.0,1.5833333333333333,1.0,1.0,1.5416666666666667,1.2857142857142858,1.0,1.1111111111111112,1.0,1.0,1.2,0,1.0,1.0,1.0,0.0
Manchester City,7.066203007518797,1.3636363636363635,11.421052631578947,59.636842105263156,20.605263157894736,1.0,5.277777777777778,17.63157894736842,1.1764705882352942,19.763157894736842,1.2777777777777777,15.921052631578947,1.8,2.3703703703703702,15.342105263157896,491.92105263157896,581.7631578947369,7.694444444444445,6.605263157894737,6.026315789473684,2.3714285714285714,2.34375,11.710526315789474,1.5909090909090908,1.1428571428571428,2.6,1.0,1.0,2.2580645161290325,1.3333333333333333,1.0,1.2222222222222223,1.25,1.1538461538461537,1.1818181818181819,1.0,1.1666666666666667,1.0,1.0,1.0
Queens Park Rangers,6.765569452477347,1.3333333333333333,8.078947368421053,45.07631578947369,23.736842105263158,1.1666666666666667,4.5675675675675675,14.052631578947368,1.25,20.55263157894737,1.2941176470588236,21.710526315789473,1.6896551724137931,1.5357142857142858,23.894736842105264,254.3421052631579,359.42105263157896,4.7105263157894735,5.657894736842105,3.9473684210526314,1.6153846153846154,2.4193548387096775,11.763157894736842,1.3529411764705883,1.25,2.6129032258064515,1.0,1.0,1.5769230769230769,1.0,1.0,1.2307692307692308,1.5,1.4,1.0,1.0,1.0,1.3333333333333333,1.0,1.0
Hull,6.755290389435126,1.0,6.7105263157894735,44.10263157894737,19.86842105263158,1.9090909090909092,3.085714285714286,11.289473684210526,1.3333333333333333,20.026315789473685,1.625,21.92105263157895,1.6129032258064515,1.36,20.605263157894736,298.94736842105266,390.89473684210526,4.828571428571428,5.135135135135135,3.638888888888889,1.5714285714285714,2.0434782608695654,11.868421052631579,1.3846153846153846,1.1666666666666667,2.6666666666666665,1.0,1.5,1.44,1.25,1.0,1.4444444444444444,1.1666666666666667,1.4285714285714286,1.2,1.0,1.0,1.5,0.0,1.0
Stoke,6.868351889338733,1.0833333333333333,9.421052631578947,50.276315789473685,24.81578947368421,1.2142857142857142,4.135135135135135,13.210526315789474,1.4,19.210526315789473,1.3,24.42105263157895,1.8518518518518519,1.65,19.026315789473685,313.4736842105263,404.7105263157895,5.27027027027027,5.756756756756757,3.5789473684210527,1.6551724137931034,2.3703703703703702,12.81578947368421,1.1875,1.0,2.5,1.0,1.0,2.238095238095238,1.1666666666666667,1.0,1.2727272727272727,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0
Aston Villa,6.685258820127244,1.25,7.578947368421052,48.99473684210526,21.789473684210527,1.15,2.736842105263158,11.0,1.3125,16.36842105263158,1.2727272727272727,18.44736842105263,2.074074074074074,1.5416666666666667,18.42105263157895,343.42105263157896,434.60526315789474,4.885714285714286,5.108108108108108,3.3783783783783785,1.55,1.5714285714285714,10.605263157894736,1.2222222222222223,1.0,2.121212121212121,1.0,1.0,1.6785714285714286,1.0,1.0,1.0,1.0,1.25,1.0,0,1.0,1.0,1.0,1.0
West Bromwich Albion,6.765031087333718,1.0769230769230769,6.2631578947368425,43.7,20.86842105263158,1.3076923076923077,3.242424242424242,10.842105263157896,1.0555555555555556,18.342105263157894,1.3333333333333333,17.07894736842105,1.6666666666666667,1.6363636363636365,17.0,284.94736842105266,379.8421052631579,4.777777777777778,4.552631578947368,3.6666666666666665,1.52,1.8518518518518519,11.131578947368421,1.3076923076923077,1.0,2.096774193548387,1.0,1.0,1.48,1.1111111111111112,1.0,1.3333333333333333,1.0,1.125,1.0,1.0,1.0,1.0,1.0,1.0
Sunderland,6.748507326007325,1.1428571428571428,8.947368421052632,45.07105263157896,21.13157894736842,1.2142857142857142,3.361111111111111,10.736842105263158,1.2727272727272727,19.973684210526315,1.2307692307692308,15.263157894736842,1.7333333333333334,1.5454545454545454,15.631578947368421,289.60526315789474,380.3157894736842,4.894736842105263,4.485714285714286,3.4210526315789473,1.4761904761904763,1.95,11.605263157894736,1.5,1.0,2.15625,1.0,1.0,1.5555555555555556,1.0909090909090908,1.0,1.0,1.0,1.0,1.0,0,1.3333333333333333,1.0,0.0,0.0
West Ham,6.8544006651243485,1.0769230769230769,6.842105263157895,45.586842105263166,23.86842105263158,1.0,3.9166666666666665,12.868421052631579,1.1875,17.026315789473685,1.0,22.894736842105264,2.033333333333333,1.5238095238095237,19.473684210526315,266.3421052631579,357.0,6.513513513513513,5.297297297297297,4.108108108108108,1.6296296296296295,2.09375,11.052631578947368,1.32,1.0,2.5277777777777777,1.0,1.0,1.6666666666666667,1.1818181818181819,1.0,1.1818181818181819,1.0,1.1111111111111112,1.2,1.0,1.0,1.0,1.0,1.0
