teamName,team_rating,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,goals,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
Arsenal,7.076748120300752,1.2941176470588236,12.868421052631579,58.26052631578946,19.0,1.0,4.305555555555555,15.026315789473685,1.6470588235294117,18.55263157894737,1.2857142857142858,15.263157894736842,2.0689655172413794,2.0,13.052631578947368,471.0263157894737,559.2368421052631,5.973684210526316,5.394736842105263,5.552631578947368,2.1666666666666665,2.03125,9.210526315789474,1.4230769230769231,1.5,2.5294117647058822,1.0,1.0,1.5833333333333333,1.3333333333333333,1.0,1.0714285714285714,1.0,1.2222222222222223,1.125,0,1.0,1.0,1.0,1.0
West Ham,6.918235010603433,1.0769230769230769,10.421052631578947,48.40789473684211,22.57894736842105,1.2857142857142858,4.029411764705882,14.68421052631579,1.2,18.68421052631579,1.4782608695652173,17.68421052631579,2.2,1.6896551724137931,16.263157894736842,306.9736842105263,395.57894736842104,5.894736842105263,6.184210526315789,4.894736842105263,1.9696969696969697,2.0606060606060606,10.052631578947368,1.380952380952381,1.3333333333333333,2.484848484848485,1.0,1.1666666666666667,1.6785714285714286,1.2142857142857142,1.0,1.4,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0
Bournemouth,6.710073501060342,1.1428571428571428,10.921052631578947,51.242105263157875,27.5,1.2352941176470589,3.9166666666666665,12.210526315789474,1.3333333333333333,18.63157894736842,1.0833333333333333,15.263157894736842,1.8275862068965518,1.5,15.289473684210526,362.4736842105263,454.44736842105266,5.815789473684211,4.864864864864865,4.085714285714285,1.6666666666666667,1.5714285714285714,9.5,1.1578947368421053,1.0,2.0,1.0,1.0,1.4666666666666666,1.2142857142857142,1.0,1.0769230769230769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aston Villa,6.687572778099094,1.0,11.052631578947368,46.363157894736844,23.789473684210527,1.0833333333333333,3.21875,10.0,1.3846153846153846,19.210526315789473,1.25,19.05263157894737,1.7037037037037037,1.375,16.289473684210527,313.3421052631579,402.8157894736842,4.8,4.638888888888889,3.0555555555555554,1.35,1.72,11.342105263157896,1.0833333333333333,1.0,2.0,1.0,1.0,1.7916666666666667,1.25,1.0,1.4444444444444444,1.0,1.4,1.0,1.0,1.0,1.0,2.0,1.0
Chelsea,6.865187487950647,1.6363636363636365,12.263157894736842,56.16052631578948,20.763157894736842,1.3,4.485714285714286,13.842105263157896,1.375,20.789473684210527,1.3333333333333333,14.131578947368421,2.1666666666666665,1.5833333333333333,14.18421052631579,426.7894736842105,517.4736842105264,6.315789473684211,5.297297297297297,4.552631578947368,1.9666666666666666,1.7647058823529411,10.631578947368421,1.4666666666666666,1.1111111111111112,2.727272727272727,1.1428571428571428,1.0,1.8888888888888888,1.1333333333333333,1.0,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Swansea,6.7456740408714095,1.0714285714285714,7.894736842105263,52.4157894736842,22.710526315789473,1.1333333333333333,3.4324324324324325,11.605263157894736,1.2727272727272727,16.789473684210527,1.25,13.68421052631579,1.7586206896551724,1.6818181818181819,15.157894736842104,386.92105263157896,478.13157894736844,4.527777777777778,4.8108108108108105,3.7777777777777777,1.6153846153846154,1.7692307692307692,10.342105263157896,1.25,1.0,2.484848484848485,1.0,1.0,1.3703703703703705,1.0833333333333333,1.0,1.2727272727272727,1.0,1.2,1.0,0,1.0,1.0,1.0,1.0
Everton,6.876869095816466,1.375,11.710526315789474,51.860526315789464,19.289473684210527,1.0769230769230769,3.945945945945946,12.921052631578947,1.5714285714285714,19.210526315789473,1.2307692307692308,12.868421052631579,1.6206896551724137,1.6785714285714286,14.289473684210526,384.1578947368421,472.2105263157895,5.7368421052631575,4.473684210526316,4.72972972972973,2.185185185185185,1.6296296296296295,8.31578947368421,1.25,1.1333333333333333,1.7741935483870968,1.0,1.0,1.565217391304348,1.1666666666666667,1.0,1.4285714285714286,1.0,1.0833333333333333,1.0,0,1.3333333333333333,1.0,1.0,1.3333333333333333
Watford,6.797573019086175,1.2,8.710526315789474,45.07368421052632,24.157894736842106,1.3125,3.4594594594594597,11.710526315789474,1.1428571428571428,20.894736842105264,1.5,17.44736842105263,1.6363636363636365,1.68,16.842105263157894,277.39473684210526,382.36842105263156,4.315789473684211,4.916666666666667,4.0,1.6666666666666667,2.0,12.078947368421053,1.4666666666666666,1.1,1.9259259259259258,1.0,1.0,1.45,1.0,1.0,1.0909090909090908,1.2,1.125,1.125,1.5,1.0,1.0,1.0,1.0
Leicester,7.063640832851359,1.2,11.31578947368421,42.59473684210527,23.92105263157895,1.5384615384615385,4.0,13.736842105263158,1.263157894736842,22.86842105263158,1.6875,18.763157894736842,2.096774193548387,1.7241379310344827,24.92105263157895,248.05263157894737,351.8421052631579,5.324324324324325,5.657894736842105,4.7105263157894735,1.9428571428571428,1.8214285714285714,10.68421052631579,1.411764705882353,1.1818181818181819,1.7241379310344827,1.2,1.0,1.72,1.4,1.2,1.0,1.3333333333333333,1.2857142857142858,1.0,0,1.1111111111111112,1.0,1.0,1.0
Sunderland,6.756344707923655,1.1764705882352942,7.973684210526316,40.94999999999999,21.44736842105263,1.125,3.3714285714285714,11.552631578947368,1.0714285714285714,20.18421052631579,1.75,17.36842105263158,2.125,1.75,17.342105263157894,238.89473684210526,336.7894736842105,4.135135135135135,4.7368421052631575,3.710526315789474,1.8461538461538463,1.5,10.578947368421053,1.4285714285714286,1.0,2.588235294117647,1.0,0.0,1.65,1.1666666666666667,1.0,1.0,1.0,1.2857142857142858,1.4,0,1.0,1.0,1.5,2.0
