playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Aaron Ramsey,Arsenal,1844,7,10,9,130,12,6.8,7.27125,66.16666667,0,51.625,1.25,6.333333333,43.83333333,2.058823529,1.454545455,1.555555556,0,2.8,1,1.4,1.8125,1.375,1.142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,Arsenal,908,0,0,3,25,0,4.5,3.839615385,57.85714286,0,38.28571429,1.5,1.038461538,32.64285714,2.5,2,1.25,1,1.25,0,0,2.222222222,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Alex Iwobi,Arsenal,1827,3,5,9,89,2,5.1,4.969444444,55.23076923,0,43.73076923,1,5.666666667,37.88461538,1.266666667,1.272727273,1.222222222,1,2.368421053,0,1,2.117647059,1.1,1.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexandre Lacazette,Arsenal,2197,14,5,10,138,11,10.3,6.872121212,34.15625,0,22.5625,1.380952381,7.090909091,17.3125,1.411764706,2.541666667,1.555555556,1,2.615384615,1,1.166666667,1.833333333,1.416666667,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Calum Chambers,Arsenal,864,0,0,2,23,0,4.7,4.273157895,65.25,0,49.91666667,2.8,2.631578947,41.66666667,1.888888889,3.333333333,1.428571429,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Danny Welbeck,Arsenal,1178,5,2,4,70,6,7.3,6.082,21.78571429,0,14.03571429,1.714285714,4.333333333,11.17857143,1.818181818,2.833333333,1.625,1,1.882352941,1,1.666666667,1.555555556,1.333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
David Ospina,Arsenal,380,0,0,2,19,1,4.8,1.021470588,33.8,2.25,23.4,1.666666667,0.117647059,16.2,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,Arsenal,17,0,0,0,3,0,5,1.650909091,6,0,3.5,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Coquelin,Arsenal,164,0,0,0,7,0,4.3,2.261578947,16.28571429,0,13.71428571,2,0.263157895,13.16666667,2.5,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,Arsenal,3259,1,8,12,109,3,5.1,7.011315789,97,0,82,1.96,6.421052632,71.26315789,2.451612903,2.083333333,1.78125,1,2.0625,0,1,1.125,1.2,1.166666667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Héctor Bellerín,Arsenal,3050,2,4,12,132,11,5.9,6.784571429,74.42857143,0,52.6,1.458333333,2,44.65714286,2.111111111,2.107142857,1.44,1,1.380952381,0,1,1.333333333,1.111111111,1.5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Jack Wilshere,Arsenal,1185,1,3,4,46,2,5,5.253461538,51.75,0,40.4,1.166666667,3.5,34.9,1.875,1.166666667,1.363636364,1,1.5,1,1,3.214285714,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,Arsenal,81,0,0,0,3,0,4.5,2.416,29,0,20,0,1.6,15.5,4,1.5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordi Osei-Tutu,Arsenal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,Arsenal,194,0,0,1,4,0,4.2,6.296666667,43.66666667,0,34.33333333,4,6,30.33333333,1,3.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
