playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Aaron Ramsey,Arsenal,1236,1,4,4,56,3,7.6,6.4375,50.69565217,0,40,1.166666667,4.458333333,35.34782609,1.615384615,1.25,1.5,1,2.1,1,1,1.666666667,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,Arsenal,2,0,0,0,1,0,4.5,0.7675,6,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,Arsenal,1456,3,5,9,89,8,5.3,4.994571429,43.96153846,0,34.46153846,1,5.028571429,30.19230769,1.266666667,1.428571429,1.166666667,1,2.166666667,1,1,1.866666667,1.888888889,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Arsenal,1564,2,7,4,83,3,5.8,6.146666667,42.17241379,0,26.68965517,1.666666667,3.606060606,21.93103448,1.947368421,1.578947368,2,1,1.75,1,1,2.541666667,1.25,1.166666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Alexis Sánchez,Arsenal,3217,24,11,13,264,32,11.7,7.755263158,65,0,43.23684211,1.166666667,9.421052632,31.81578947,1.892857143,2.04,1.814814815,1,3.583333333,1,1.411764706,3.272727273,1.653846154,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Carl Jenkinson,Arsenal,82,0,0,0,2,0,4.8,3.515,62,0,35,3,1,21,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba Akpom,Arsenal,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,Arsenal,748,2,2,3,37,0,7.3,6.563125,19.625,0,12,1.7,4.625,10.0625,1.333333333,1.75,1.4,0,1.9,0,1,1.5,1.5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
David Ospina,Arsenal,143,0,0,0,2,0,4.7,0.362941176,29.5,2,22,1,0.029411765,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,Arsenal,180,0,0,1,8,0,3.9,2.662,31.5,2.5,21.5,0,0.4,16,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Francis Coquelin,Arsenal,1779,0,1,5,52,1,4.2,5.636571429,52.93103448,0,40.68965517,2.117647059,4.285714286,35.72413793,3.086956522,1.888888889,1.736842105,1,1.4,1,0,1.384615385,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Gabriel Paulista,Arsenal,1517,0,0,5,45,2,4.8,4.0978125,62.26315789,0,45.89473684,3.266666667,2.0625,39.94736842,1.785714286,2.4375,1.666666667,1,1.125,0,0,1.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Granit Xhaka,Arsenal,2483,2,3,10,85,7,5.2,6.752121212,83.78125,0,71.8125,2.2,4.606060606,64.21875,2.566666667,1.666666667,1.681818182,1,1.789473684,0,1,1.1875,1.333333333,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Héctor Bellerín,Arsenal,2503,1,5,10,119,12,6.5,6.614117647,62.6969697,0,42.18181818,1.55,1.588235294,35.72727273,1.333333333,2.15,1.25,1,1.571428571,0,1,2.045454545,1,1.333333333,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Jeff Reine-Adelaide,Arsenal,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Gibbs,Arsenal,702,0,1,6,45,3,4.7,2.478387097,53.54545455,0,33.81818182,2.857142857,0.774193548,27.81818182,1.5,2.777777778,1.571428571,1,1.25,0,0,1.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Laurent Koscielny,Arsenal,2821,2,1,10,121,19,6.1,7.245151515,64.57575758,0,50.51515152,3.866666667,5.787878788,44.39393939,2.181818182,2.689655172,1.727272727,1,1.125,1,1,1.333333333,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Lucas Pérez,Arsenal,272,1,1,1,20,0,7.8,4.114117647,15.18181818,0,10.54545455,1,0.941176471,8.090909091,1,1,2,0,1.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mathieu Debuchy,Arsenal,15,0,0,0,1,0,4.6,6.4,13,0,10,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
