playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Aaron Ramsey,Arsenal,2623,5,5,14,119,9,7.8,6.9884375,89.48387097,0,69.4516129,1.588235294,5.15625,59.80645161,3.12,1.625,1.807692308,1,2.555555556,1,1,1.857142857,1.352941176,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Alex Iwobi,Arsenal,628,2,2,5,42,2,4.5,4.201428571,41.58333333,0,30.66666667,1,4.142857143,26.25,2,1.5,1.5,0,2.5,0,1,2.285714286,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Arsenal,928,1,1,5,44,0,5.5,6.373043478,32.54545455,0,19.95454545,1.142857143,3.043478261,16.45454545,1.769230769,1.25,1.222222222,0,1.769230769,0,1,2.571428571,1.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Alexis Sánchez,Arsenal,2436,13,5,14,167,17,11.2,7.724666667,72.7,0,47.83333333,1.294117647,9.066666667,38.06666667,2.136363636,2.1,1.523809524,1,3.821428571,1,1.444444444,3.482758621,2.117647059,1,0,0,0,0,0,1.333333333,1,0,0,0,0,0,0,0,0
Calum Chambers,Arsenal,322,0,1,2,23,1,4.6,2.698965517,22.75,0,17.72727273,2.6,0.448275862,16.3,1.333333333,1.833333333,1.2,1,2,0,0,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Danny Welbeck,Arsenal,575,4,3,3,48,7,6.9,6.4675,25.63636364,0,14.9,1.666666667,5.25,11.4,2.2,3.4,1.2,1,2,1,1,2,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ospina,Arsenal,360,0,0,2,20,2,4.7,0.836176471,37.75,4.25,27.5,0,0.117647059,15.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Coquelin,Arsenal,1643,0,0,9,46,2,4.2,6.844074074,55.88461538,0,42.88461538,1.266666667,4.888888889,38.23076923,3.272727273,1.230769231,1.6,1,1.142857143,1,0,1.666666667,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Paulista,Arsenal,1764,1,0,10,83,9,4.3,4.34,67.38095238,0,52.95238095,2.833333333,2.714285714,47.76190476,2.470588235,1.9375,1,1,1.375,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,Arsenal,3240,1,6,18,172,18,6.5,7.189722222,72.58333333,0,46.88888889,1.56,2,40.16666667,2.035714286,1.652173913,1.357142857,1,1.083333333,1,1,2.1,1,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
