playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Jack Wilshere,Arsenal,142,0,0,1,6,0,5.7,4.98,38,0,27.66666667,2,1.75,23.33333333,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Reine-Adelaide,Arsenal,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Campbell,Arsenal,884,3,2,5,54,7,5,4.259,30.61111111,0,19,1.2,2.566666667,14.94444444,2.166666667,1.375,1.285714286,0,1.727272727,0,1,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Gibbs,Arsenal,391,1,0,1,26,0,5.1,2.9634375,20.73333333,0,13.2,1.6,0.53125,9.8,1.333333333,1.857142857,1,0,1.666666667,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Laurent Koscielny,Arsenal,2845,4,0,15,153,18,6.3,7.255294118,67.21212121,0,51.27272727,3.851851852,5.823529412,44.60606061,1.807692308,2.035714286,1.9375,1,1.266666667,1,1,1.111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Debuchy,Arsenal,142,0,0,0,3,0,5.1,0.805882353,66.5,0,39.5,3,0.235294118,29.5,9,1,1.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Flamini,Arsenal,1089,0,0,5,29,0,4.4,5.387,50.0625,0,39.1875,1.714285714,4.4,34.0625,2.727272727,1.25,1.636363636,1,1.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,Arsenal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut Özil,Arsenal,3036,6,19,17,200,30,9.2,7.657428571,84.65714286,0,65.02857143,1,10,56.11428571,1.52173913,1.363636364,1.538461538,1,1.678571429,1,1,1.84,1.7,1.1875,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mikel Arteta,Arsenal,169,0,1,0,10,0,4.7,4.406153846,18.88888889,0,14.66666667,2,0,14.375,1.6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mohamed Elneny,Arsenal,792,0,1,5,25,0,5.2,4.952,78.18181818,0,67.09090909,1,4.533333333,62.27272727,2.5,1.5,1.8,1,1.857142857,0,0,1.333333333,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,Arsenal,3249,0,3,17,152,14,5.9,7.071315789,74.62162162,0,49.83783784,2.555555556,2.842105263,42.59459459,2.393939394,2.16,1.333333333,1,1.333333333,1,0,1.230769231,1,1.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Olivier Giroud,Arsenal,2430,16,6,12,156,15,8.8,7.065263158,33.97368421,0,22.07894737,3.15625,6.157894737,15.02631579,1.789473684,3.172413793,1.6,1,2.805555556,1,1.230769231,1.222222222,1.4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Per Mertesacker,Arsenal,2047,0,0,9,71,1,5.2,5.309677419,61.625,0,51.875,2.842105263,3.870967742,46.375,1.928571429,1.363636364,1.4,1,1.333333333,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Petr Cech,Arsenal,3060,0,0,16,159,15,5.9,6.558055556,36.20588235,3.258064516,25.08823529,1,0.944444444,14.79411765,0,0,0,0,0,1,0,1,0,0,1.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santi Cazorla,Arsenal,1290,0,3,7,44,6,7.8,6.641764706,101.7333333,0,81.93333333,1,4.647058824,73.93333333,2.153846154,1.2,1.444444444,1,2.181818182,1,0,2.846153846,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Theo Walcott,Arsenal,1373,5,3,8,85,0,8,5.585151515,21.62962963,0,11.48148148,1,4.575757576,9.148148148,1.375,1.4,1,0,2.5,1,1,1.470588235,1.6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Adama Traoré,Aston Villa,193,0,2,0,15,0,5.2,4.557857143,13.4,0,3.333333333,0,0,3.428571429,1,1,1,1,1,0,0,2.777777778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Hutton,Aston Villa,2330,0,1,2,31,0,4.1,5.83,56.67857143,0,30.10714286,1.789473684,1.677419355,22.71428571,2.291666667,1.230769231,1.75,1,1,0,0,1.333333333,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Aly Cissokho,Aston Villa,1602,0,0,3,28,4,4.5,6.460555556,64.22222222,0,35.94444444,2,3,26.72222222,1.733333333,1.714285714,1.444444444,1,1.333333333,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Andre Green,Aston Villa,59,0,0,0,2,0,4.4,4.376666667,24,0,11.5,0,0,7.5,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,Aston Villa,2717,2,2,5,83,6,4.2,6.116285714,60.34375,0,47.28125,1.2,5.828571429,39.1875,2.384615385,1.333333333,1.578947368,1,1.727272727,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Brad Guzan,Aston Villa,2520,0,0,2,62,0,4.1,4.844473684,36.85714286,3.296296296,25.75,1,0.736842105,13.39285714,1,0,0,1,0,0,0,0,0,0,2.16,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Carles Gil,Aston Villa,1436,2,1,5,53,0,4.6,4.421764706,45.91304348,0,31.73913043,1,4.529411765,27.60869565,1.466666667,1,1,1,1.416666667,0,1,1.611111111,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Carlos Sánchez,Aston Villa,1368,0,0,3,34,0,4.3,5.183076923,51.55,0,39.65,1.928571429,3.615384615,31.95,2.944444444,1.538461538,1.785714286,1,1.444444444,0,0,1.545454545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles N'Zogbia,Aston Villa,43,0,0,0,2,0,4.4,6.115,9.5,0,4.5,0,0,4.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciaran Clark,Aston Villa,1442,1,0,3,36,2,4.3,3.990322581,50.05882353,0,32.88235294,3.333333333,2.870967742,26.5625,2,2.727272727,1.4,1,1.25,0,1,1.285714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Gabriel Agbonlahor,Aston Villa,1031,1,2,2,37,1,4.7,6.424,22.26666667,0,14.86666667,2.363636364,8.066666667,11.35714286,1.2,4.083333333,1.909090909,0,1.666666667,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idrissa Gueye,Aston Villa,3071,0,2,6,74,3,4.6,7.246857143,73.74285714,0,53.4,1.631578947,7.057142857,45.68571429,4.235294118,1.35,2.344827586,1,1.5,1,0,2.464285714,1.111111111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jack Grealish,Aston Villa,833,1,0,0,28,0,5.2,4.1232,30.5,0,19.6875,1,3.68,16.875,1.5,1.571428571,2,1,1.777777778,0,1,2,1.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Cole,Aston Villa,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Amavi,Aston Villa,837,0,2,2,32,5,4.8,6.236666667,75.4,0,37,2.857142857,2.25,29.2,4.5,2.125,2.25,1,1.25,1,0,2.777777778,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Ayew,Aston Villa,2349,7,0,4,86,13,5.4,6.066764706,48.23333333,0,26.66666667,2.44,7.852941176,21.56666667,1.739130435,3.541666667,2.086956522,1,2.458333333,0,1,2.884615385,1.615384615,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
Jordan Lyden,Aston Villa,153,0,0,0,5,0,4.5,1.365555556,22,0,16.75,0,0.333333333,13.25,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Veretout,Aston Villa,1820,0,6,4,69,5,5.6,5.1309375,53.92,0,39.64,1.222222222,5.46875,32.92,1.777777778,1.8,1.461538462,1,1.461538462,0,0,1.222222222,1.166666667,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jores Okore,Aston Villa,1080,0,0,3,29,1,4.4,4.674444444,43.66666667,0,27.5,2.571428571,3.333333333,22.16666667,3.363636364,2,1.333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
José Ángel Crespo,Aston Villa,90,0,0,0,2,0,4.4,1.495,30,0,27,0,1.5,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keinan Davis,Aston Villa,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Toner,Aston Villa,315,0,1,1,10,0,4,5.386,44.25,0,24.25,2.5,2.2,17.5,2.5,1.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Richardson,Aston Villa,723,0,1,0,11,1,4.1,3.110454545,42,0,24.45454545,1.5,2.181818182,19,2.571428571,2.25,2.25,1,1.166666667,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Bacuna,Aston Villa,2417,1,0,5,61,3,4.7,5.410526316,55.96774194,0,36.5483871,1.529411765,3.894736842,28.29032258,2.285714286,1.411764706,1.8,1,1.6,0,1,1.5625,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Libor Kozák,Aston Villa,258,0,0,2,7,0,4.4,4.413333333,29.75,0,19,5,4.5,12,3,5,1.666666667,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Bunn,Aston Villa,900,0,0,4,39,3,4.2,1.682894737,31.9,3,24.1,1,0.263157895,10,0,0,1,1,0,0,0,0,0,0,1.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Micah Richards,Aston Villa,2045,1,1,4,49,3,4.3,5.1803125,47.625,0,29.875,3.05,3.28125,25.41666667,2.05,1.692307692,1.454545455,1,1.1,1,1,2.333333333,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Nathan Baker,Aston Villa,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niall Mason,Aston Villa,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Gestede,Aston Villa,1669,5,3,0,78,6,5.5,6.425882353,25.90625,0,18.625,6.709677419,3.705882353,10.6875,1.375,4.9,1.6,1,2.346153846,1,1.25,1.222222222,1.375,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Rushian Hepburn-Murphy,Aston Villa,1,0,0,0,1,0,4.1,3.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Sinclair,Aston Villa,1595,2,0,3,56,2,4.1,4.552972973,25.16,0,13.76,1.4,5.054054054,11.64,1.4,1.571428571,1,0,1.7,0,2,1.857142857,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Adam Federici,Bournemouth,495,0,0,0,8,0,4.3,0.96972973,25.33333333,3.25,18,0,0.162162162,12.83333333,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Adam Smith,Bournemouth,2100,2,0,6,84,11,4,6.6546875,55.46666667,0,31.4137931,1.75,1.5625,26.44827586,2.730769231,2,1.736842105,1,1.363636364,1,1,2.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Surman,Bournemouth,3420,0,3,7,90,2,4.3,6.791315789,71.15789474,0,60.15789474,1.777777778,5.473684211,51.34210526,1.888888889,2.035714286,1.733333333,1,1.230769231,1,0,1.230769231,1.125,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Artur Boruc,Bournemouth,2880,0,0,7,108,9,4.5,6.266666667,33.4375,2.620689655,23.21875,1,0.96969697,12.5,0,0,1,1,0,1,0,1,0,0,1.769230769,0,0,1.25,0,0,0,0,1,1,0,0,0,0,0
Baily Cargill,Bournemouth,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik Afobe,Bournemouth,930,4,0,4,46,5,5.3,6.440666667,23.6,0,15,1.428571429,7.4,13.06666667,1.25,2.384615385,1.666666667,0,1.555555556,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Callum Wilson,Bournemouth,771,5,0,1,46,5,5.3,6.532307692,23.83333333,0,10.91666667,1.333333333,6.538461538,8.727272727,1.25,2.166666667,2,0,1.7,1,1.666666667,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Charlie Daniels,Bournemouth,3285,3,5,7,130,20,4.8,6.908108108,72.86486486,0,45.72972973,1.368421053,3,36.78378378,2.586206897,1.3125,1.25,1,1.333333333,1,1,2.035714286,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Corey Jordan,Bournemouth,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Gosling,Bournemouth,2446,3,2,5,86,6,4.4,6.224594595,49.5,0,35.11764706,2.1875,5.405405405,29.32352941,2.703703704,1.869565217,1.476190476,1,1.904761905,0,1,2.055555556,1.222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eunan O'Kane,Bournemouth,756,0,1,0,23,0,4.1,3.06375,29.5,0,23.6875,1,1.0625,18.25,1.5,1.5,1.5,1,1.2,0,0,1.666666667,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Harry Arter,Bournemouth,1662,1,0,4,42,1,4.7,6.808571429,63.33333333,0,49.19047619,1,8.761904762,42.28571429,2.85,1,1.4375,1,2.117647059,0,1,1.833333333,1.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Holmes,Bournemouth,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua King,Bournemouth,1914,6,3,3,98,7,4.3,6.707096774,28.87096774,0,14.29032258,1.666666667,7.193548387,11.03225806,1.526315789,2.125,1.681818182,1,2.2,1,1,2.368421053,1.454545455,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Juan Iturbe,Bournemouth,57,0,0,0,2,0,4.6,1.151818182,20.5,0,11.5,1,0,9,0,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Stanislas,Bournemouth,1436,3,2,5,65,5,4,6.029166667,50.28571429,0,31.52380952,1.75,6.916666667,24.71428571,1.8125,2.416666667,1.1,1,2.2,1,1.5,2.133333333,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lee Tomlin,Bournemouth,290,0,0,1,8,0,4.7,3.903,30.16666667,0,19.33333333,1.333333333,3,14.16666667,1.5,2.5,1,1,1.666666667,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Pugh,Bournemouth,1337,3,4,3,66,1,4.6,5.3634375,32.76923077,0,19.26923077,1.272727273,5.15625,15.11538462,2.133333333,1.55,1.25,1,1.466666667,1,1,2.133333333,1.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matt Butcher,Bournemouth,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ritchie,Bournemouth,2975,4,8,6,119,5,5.1,6.771081081,59.54054054,0,38.62162162,1.210526316,6.351351351,29.40540541,1.8,1.916666667,1.64,1,2.75,0,1,1.266666667,1.55,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Max Gradel,Bournemouth,891,1,5,4,48,1,5.7,6.714285714,38.92857143,0,20.42857143,1,8.642857143,15.07142857,1.916666667,1.166666667,1.571428571,1,2,0,1,1.727272727,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoys Wiggins,Bournemouth,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Allsop,Bournemouth,45,0,0,0,1,0,4.4,1.585,11,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaun MacDonald,Bournemouth,31,0,0,0,3,0,4.2,1.286428571,7,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Francis,Bournemouth,3386,0,4,6,89,9,4.1,7.163947368,79.55263158,0,55.42105263,3.057142857,3.578947368,43.78947368,3.28125,2.214285714,1.52173913,1,1.166666667,1,0,1.5,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Steve Cook,Bournemouth,3195,4,2,7,114,12,4.3,6.836756757,58.75,0,43.83333333,3.514285714,5.648648649,35.69444444,1.736842105,2.064516129,1.071428571,1,1.388888889,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Sylvain Distin,Bournemouth,843,0,0,1,17,0,4,2.584193548,51.63636364,0,45,4.125,1.741935484,37.5,2.714285714,1.9,1.5,0,1,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelo Rantie,Bournemouth,41,0,0,0,3,0,4.1,2.295,7.333333333,0,3.666666667,0,0,3.333333333,1,0,1.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Elphick,Bournemouth,1013,1,0,0,21,0,4.2,4.664117647,48.08333333,0,38.08333333,3.6,3.235294118,31.5,1.571428571,2.375,1.428571429,1,1.333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tyrone Mings,Bournemouth,11,0,0,0,1,0,4.1,1.5525,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Kermorgant,Bournemouth,130,0,0,0,7,0,4.4,2.512352941,11,0,8.428571429,1.5,0,6,0,1.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Bennett,"Bournemouth,Aston Villa",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Rahman Baba,Chelsea,1018,0,1,2,35,1,5.4,3.490344828,55.8,0,35.06666667,1.142857143,1.137931034,29.33333333,3.615384615,1.444444444,1.4,1,1.5,0,0,1.6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Alexandre Pato,Chelsea,131,1,1,1,12,1,6.9,1.323,25,0,13.5,0,0.9,12,1.5,1.5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Asmir Begovic,Chelsea,1399,0,0,4,55,1,4.6,3.026315789,29.94117647,3.4375,19.76470588,1.2,0.394736842,9.294117647,0,0,0,0,0,0,0,0,0,0,1.545454545,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traoré,Chelsea,375,2,1,2,28,1,5.4,2.94173913,21.5,0,13.6,1.333333333,1.47826087,11.3,1.5,1.5,1.5,0,2.125,0,1,1.5,1.166666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Branislav Ivanovic,Chelsea,2916,2,3,8,111,13,6.6,6.88,59.57575758,0,39.42424242,2.612903226,2.96969697,32.66666667,2.444444444,1.576923077,1.523809524,1,1.473684211,1,1,1.25,1.375,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
César Azpilicueta,Chelsea,3199,2,5,8,124,15,5.8,6.841052632,72.94594595,0,48.59459459,1.703703704,2.552631579,40.77777778,3.454545455,1.5,1.695652174,1,1.111111111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesc Fàbregas,Chelsea,2896,5,7,8,133,16,8.5,7.142972973,91.75675676,0,76.45945946,1.222222222,7.135135135,64.18918919,3.121212121,1.266666667,1.727272727,1,2.045454545,1,1.25,1.533333333,1.090909091,1.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Charlie Colkett,Chelsea,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Costa,Chelsea,2373,12,7,6,129,14,10.5,6.837931034,47.42857143,0,29.42857143,2,8.379310345,22.89285714,1.3125,3.285714286,2.047619048,1,2.428571429,1,1.090909091,1.904761905,1.363636364,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Eden Hazard,Chelsea,2193,5,4,5,104,11,10.9,7.107419355,62.12903226,0,45.64516129,1.222222222,8.258064516,39.29032258,1.3125,1.4375,1.153846154,1,1.8,1,1.333333333,3.423076923,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Falcao,Chelsea,237,1,0,0,15,1,6.8,4.475,12.7,0,8.4,2,0.642857143,6.3,1,2.333333333,1.75,1,1.375,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fikayo Tomori,Chelsea,31,0,0,0,1,0,4,3.095,23,0,13,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Cahill,Chelsea,1957,2,1,2,53,0,6.1,4.744242424,45.65217391,0,33.60869565,3.136363636,3.333333333,28.08695652,1.571428571,2.235294118,1.307692308,1,1.444444444,0,1,1.5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Jake Clarke-Salter,Chelsea,17,0,0,0,1,0,4,3.1,8,0,6,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Blackman,Chelsea,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Obi Mikel,Chelsea,1782,0,1,5,45,0,4.2,4.769428571,58.76,0,49.72,1.636363636,3.514285714,44.52,2.6,2.071428571,1.777777778,1,1.166666667,0,0,1.428571429,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Terry,Chelsea,1987,1,0,6,57,6,6.6,6.047692308,47.29166667,0,38.5,2.333333333,5.538461538,34.58333333,1.5,1.692307692,1.25,1,1.111111111,0,1,1,1.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Juan Cuadrado,Chelsea,27,0,0,0,1,0,7.4,6.36,19,0,9,0,0,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasey Palmer,Chelsea,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenedy,Chelsea,556,1,0,1,23,3,5,3.890833333,33.78571429,0,22.30769231,2,1.166666667,19.23076923,1.272727273,1.333333333,1.2,0,1.3,1,1,2.166666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
